planID,benefitClassID,effectiveDate,terminationDate,savedUserID,savedDateTime
163775,146389,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:54:00.893'
163775,146390,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:55:01.450'
163775,146391,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:56:01.550'
163775,146392,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:57:01.007'
163776,145512,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968638,'2018-10-16 16:14:06.203'
163776,145514,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968638,'2018-10-16 16:13:02.330'
163776,145518,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968638,'2018-10-16 16:00:19.587'
163777,145512,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:22:22.143'
163777,145513,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:56:13.613'
163777,145514,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:49:50.027'
163777,145518,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:03:02.850'
163777,145537,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:01:00.720'
163777,145538,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:58:24.433'
